"Human Embryology","742
001","6","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Adv Pract-Genetic Counselng","814
005","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","990
049","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar in Genetics","993
001","6","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"MD GENET
616","Dept. Total","103","3.857","73.8","16.5","4.9",".","",".","",".","",".","4.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.971","85.7","14.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","11","3.903","81.8","9.1","9.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","32","3.828","68.8","25.0","6.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","53","3.861","73.6","20.8","5.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","47","3.877","76.6","10.6","2.1",".","",".","",".","",".","10.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","103","3.857","73.8","16.5","4.9",".","",".","",".","",".","4.9","",".",".","",".","",".","",".",".",".","."
