"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"101
Forum on the Environment","001","","43","3.849","93.0","2.3",".",".","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"132
Earth Water:Nat Sci&Hum Use","001","","77","2.967","23.4","20.8","20.8","19.5","7.8",".","6.5",".",".",".",".",".",".",".",".","1.3"
"230
Soil: Ecosystem & Resource","001","","46","2.522","21.7","13.0","13.0","8.7","21.7","15.2","6.5",".",".",".",".",".",".",".",".","."
"299","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"322
Phys Princ-Soil & Water Mgt","001","","26","3.846","73.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","30","3.983","93.3","3.3",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","17","3.471","41.2","23.5","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","3","***","","","","","","","","","","","","","","","",""
"468
Envir Impact-Livestock Operatn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Assessment-Environ Impact","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","14","2.917","7.1",".","21.4","7.1","7.1",".",".","35.7",".",".",".",".",".",".","21.4","."
"621
Soil Chemistry","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","086","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","39","3.978","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
Graduate Seminar","001","","14","3.833","14.3","7.1",".",".",".",".",".","78.6",".",".",".",".",".",".",".","."
"799
Pract-Soil Science Teaching","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
