"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"350
Parasitology","001","","8","3.125","12.5","25.0","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","14","3.731","64.3","14.3","7.1","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"514
Veterinary Parasitology","001","","78","3.538","46.2","17.9","33.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","82","3.864","74.4","22.0","2.4",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"518
Infctious Disease Pathobiol","001","","78","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","78","3.545","37.2","34.6","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","78","3.436","25.6","38.5","33.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Special Topics","002","","51","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","4.000","69.0",".",".",".",".",".",".","31.0",".",".",".",".",".",".",".","."
"775","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","7","3.750","42.9",".","14.3",".",".",".",".",".",".",".",".","42.9",".",".",".","."
"930","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","26","3.880","84.6",".","11.5",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 405 of 413",""
