"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","2703","2.959","29.0","14.4","24.9","7.7","15.5","5.0","1.5","1.2","",".",".","",".","0.4","0.2","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","331","2.682","22.1","15.4","20.2","10.6","21.1","7.3","3.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","638","2.877","26.0","14.6","28.1","7.8","14.9","6.1","1.9",".","",".",".","",".",".","0.2","0.3",".","0.2"
"Junior","","627","2.971","27.1","17.2","27.0","6.4","15.6","4.8","1.6",".","",".",".","",".",".",".",".",".","0.3"
"Senior","","961","3.052","32.5","12.9","25.4","8.3","15.7","4.2","0.7",".","",".",".","",".",".","0.2",".",".","0.1"
"Undergraduates","","2557","2.942","28.2","14.7","25.8","8.0","16.2","5.2","1.6",".","",".",".","",".",".","0.1","0.1",".","0.2"
"Special","","29","3.026","27.6","17.2","24.1","13.8","10.3","3.4",".","3.4","",".",".","",".",".",".",".",".","."
"Graduate","","115","3.678","46.1","6.1","7.0",".","1.7",".",".","27.0","",".",".","",".","9.6","2.6",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","2703","2.959","29.0","14.4","24.9","7.7","15.5","5.0","1.5","1.2","",".",".","",".","0.4","0.2","0.1",".","0.1"
