"Master's Research or Thesis","Course Total","","5","***","","","","","","","","","","","","","","","","","","","","","","",""
"","990
029","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
057","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"G L E
418","Dept. Total","","82","3.525","58.5","11.0","14.6","6.1","",".","",".","",".","9.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","14","3.719","92.9",".",".","7.1","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","6","3.000","33.3",".","50.0","16.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","31","3.467","61.3","9.7","19.4","9.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","56","3.464","69.6","5.4","16.1","8.9","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","3.250","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","24","3.700","33.3","25.0","8.3",".","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","82","3.525","58.5","11.0","14.6","6.1","",".","",".","",".","9.8","",".",".","",".","",".","",".",".",".","."
