"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"","310
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
002","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"","310
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
004","22","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"","310
005","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
006","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","310
008","15","",".",".",".",".",".",".",".",".",".","86.7","6.7",".",".","6.7",".","."
"","310
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
010","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","92","",".",".",".",".",".",".",".",".",".","93.5","5.4",".",".","1.1",".","."
"The Politics of Human Rights","317
001","27","2.907","18.5","22.2","22.2","25.9","3.7",".","7.4",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","18","3.235","27.8","44.4",".","11.1","5.6",".","5.6",".",".",".",".",".","5.6",".",".","."
"Globalizatn, Poverty&Develpmnt","373
001","18","3.444","16.7","72.2",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","601
001","25","3.600","52.0","40.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Topics:Culture-Age of Globlztn","603
001","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Environment","604
001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Global Studies Seminar","720
001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTL ST
504","Dept. Total","227","3.466","25.6","21.6","4.4","4.4","1.3",".","1.8",".",".","37.9","2.2",".","0.4","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","",".",".",".",".",".",".",".",".",".","81.8","18.2",".",".",".",".","."
"Sophomore","","38","2.700","2.6","5.3",".","2.6",".",".","2.6",".",".","81.6","2.6",".","2.6",".",".","."
"Junior","","40","3.313","10.0","15.0","7.5","5.0","2.5",".",".",".",".","52.5","5.0",".",".","2.5",".","."
"Senior","","131","3.514","38.9","28.2","5.3","5.3","1.5",".","2.3",".",".","18.3",".",".",".",".",".","."
"Undergraduates","","220","3.457","25.5","20.5","4.5","4.5","1.4",".","1.8",".",".","38.6","2.3",".","0.5","0.5",".","."
"Special","","2","3.500",".","50.0",".",".",".",".",".",".",".","50.0",".",".",".",".",".","."
"Graduate","","5","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","227","3.466","25.6","21.6","4.4","4.4","1.3",".","1.8",".",".","37.9","2.2",".","0.4","0.4",".","."
