"Intro to Clinical Trials I","542
001","","20","3.875","65.0","10.0","5.0",".","",".",".","",".","","5.0",".","",".",".","",".","","15.0",".",".","."
"Advanced Bioinformatics","776
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Statistical Methods-Molec Biol","877
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"B M I
210","Dept. Total","","30","3.775","46.7","13.3","3.3","3.3","",".","",".","",".","23.3","",".",".","",".","",".","10.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","7","3.750","42.9",".","14.3",".","",".","",".","",".","14.3","",".",".","",".","",".","28.6",".",".","."
"Graduate","","","21","3.750","42.9","19.0",".","4.8","",".","",".","",".","28.6","",".",".","",".","",".","4.8",".",".","."
"Prof Yr 3","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","30","3.775","46.7","13.3","3.3","3.3","",".","",".","",".","23.3","",".",".","",".","",".","10.0",".",".","."
