"","990
020","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
023","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
035","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"Individual Research","Course Total","29","",".",".",".",".",".",".",".","93.1",".",".",".","6.9","",".",".",".","."
"FRENCH
400","Dept. Total","1071","3.466","41.5","31.3","12.3","5.1","2.8","0.9","1.0","4.4","0.2",".",".","0.2","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","94","3.418","29.8","41.5","18.1","5.3","2.1","2.1",".","1.1",".",".",".",".","",".",".",".","."
"Sophomore","","204","3.378","30.9","37.3","18.6","7.4","3.4","1.5","0.5","0.5",".",".",".",".","",".",".",".","."
"Junior","","229","3.437","38.9","37.6","10.0","6.1","4.8","0.4","0.9","1.3",".",".",".",".","",".",".",".","."
"Senior","","367","3.477","46.9","27.5","12.5","5.2","2.5","1.1","1.4","2.2","0.5",".",".",".","",".",".","0.3","."
"Undergraduates","","894","3.434","39.4","33.8","13.9","5.9","3.2","1.1","0.9","1.5","0.2",".",".",".","",".",".","0.1","."
"Special","","22","3.683","54.5","13.6","18.2",".",".",".",".","9.1",".",".",".",".","",".",".","4.5","."
"Graduate","","152","3.692","52.0","19.1","2.6","1.3","0.7",".","2.0","21.1",".",".",".","1.3","",".",".",".","."
"Prof Yr 3","","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","1071","3.466","41.5","31.3","12.3","5.1","2.8","0.9","1.0","4.4","0.2",".",".","0.2","",".",".","0.2","."
