"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","182","3.271","26.4","37.9","11.0","12.6","11.0","0.5",".","0.5",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","54","3.370","44.4","22.2","13.0","11.1","7.4",".","1.9",".",".",".",".",".",".",".",".","."
"Phonology","310","001","19","3.421","42.1","31.6","10.5",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Morphology","322","001","25","3.140","32.0","12.0","36.0",".","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"Syntax","330","001","20","3.150","30.0","20.0","25.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Semantics","340","001","27","3.192","33.3","7.4","37.0","7.4","7.4","3.7",".","3.7",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Methods I","426","001","21","4.000","90.5",".",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"","482","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","482","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Phonological Theories","510","001","17","3.406","47.1","17.6","17.6",".","5.9","5.9",".",".",".",".",".",".","5.9",".",".","."
"Syntactic Theories","530","001","11","3.688","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"Honors Seminar-Sr Thesis","682","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Seminar","979","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
