"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"GEOLOGY
420","Dept. Total","1264","2.986","26.3","14.1","24.1","11.3","10.7","3.5","1.5","6.3","0.1",".","",".","1.4","0.2","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","155","2.681","7.7","11.0","31.6","25.2","18.1","2.6","2.6","1.3",".",".","",".",".",".",".",".","."
"Sophomore","","288","2.881","20.1","11.5","31.6","16.3","13.2","5.6","1.7",".",".",".","",".",".",".",".",".","."
"Junior","","241","2.937","27.0","14.1","26.1","9.1","15.8","4.1","2.1","0.4",".",".","",".",".","0.8",".","0.4","."
"Senior","","343","3.037","25.9","21.3","25.7","9.6","8.2","4.1","1.5","3.5",".",".","",".",".",".",".","0.3","."
"Undergraduates","","1027","2.901","21.8","15.3","28.3","13.7","12.9","4.3","1.9","1.5",".",".","",".",".","0.2",".","0.2","."
"Special","","20","3.346","30.0","10.0","20.0","5.0","5.0",".",".","15.0",".",".","",".",".",".","5.0","10.0","."
"Graduate","","216","3.772","47.2","8.3","4.2","0.5","0.9",".",".","28.7","0.5",".","",".","8.3",".","1.4",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1264","2.986","26.3","14.1","24.1","11.3","10.7","3.5","1.5","6.3","0.1",".","",".","1.4","0.2","0.3","0.3","."
