"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Topics-Finite Mathematics","210
001","107","2.603","15.9","15.9","23.4","13.1","13.1","12.1","6.5",".",".",".",".",".",".",".",".","."
"","211
001","231","3.232","38.5","16.5","22.9","7.8","6.5","6.1","0.4","0.4",".",".",".",".","0.4","0.4",".","."
"","211
002","140","2.482","17.9","10.0","20.7","11.4","17.1","15.0","7.1",".",".",".",".",".",".","0.7",".","."
"Calculus","Course Total","371","2.948","30.7","14.0","22.1","9.2","10.5","9.4","3.0","0.3",".",".",".",".","0.3","0.5",".","."
"Calc/Intro-Differntl Equats","213
001","129","3.156","20.9","27.1","27.1","16.3","6.2",".","1.6",".",".",".",".",".","0.8",".",".","."
"","217
001","169","2.627","24.9","10.7","20.1","5.9","19.5","11.8","7.1",".",".",".",".",".",".",".",".","."
"","217
002","157","2.538","17.8","11.5","15.3","16.6","21.7","10.2","6.4",".",".",".",".",".",".",".",".","0.6"
"Calc with Algebra & Trig II","Course Total","326","2.585","21.5","11.0","17.8","11.0","20.6","11.0","6.7",".",".",".",".",".",".",".",".","0.3"
"","221
001","159","2.377","14.5","7.5","27.7","8.2","19.5","9.4","12.6","0.6",".",".",".",".",".",".",".","."
"","221
002","172","2.391","23.3","4.1","16.9","5.8","23.8","16.3","8.7",".","0.6",".",".",".",".","0.6",".","."
"Calculus&Analytic Geometry","Course Total","331","2.384","19.0","5.7","22.1","6.9","21.8","13.0","10.6","0.3","0.3",".",".",".",".","0.3",".","."
"","222
001","208","2.466","18.8","11.1","12.5","14.4","21.6","14.9","6.3",".",".",".",".",".",".","0.5",".","."
"","222
002","226","2.558","21.7","12.8","15.0","11.9","17.7","13.7","7.1",".",".",".",".",".",".",".",".","."
"","222
003","156","2.629","26.9","7.1","19.2","3.8","25.6","10.3","6.4",".",".",".",".",".",".","0.6",".","."
"","004
222","98","2.500","11.2","12.2","22.4","22.4","16.3","6.1","9.2",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","688","2.538","20.5","10.9","16.3","12.4","20.5","12.2","7.0",".",".",".",".",".",".","0.3",".","."
"","234
001","188","2.698","14.9","9.6","30.3","16.5","16.0","11.2","1.1",".",".",".",".",".","0.5",".",".","."
"","002
234","185","2.617","13.5","10.8","25.9","13.0","24.3","8.1","3.2","0.5",".",".",".",".",".",".","0.5","."
"","234
003","123","2.435","16.3","7.3","17.9","8.1","35.8","7.3","7.3",".",".",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","496","2.602","14.7","9.5","25.6","13.1","24.0","9.1","3.4","0.2",".",".",".",".","0.2",".","0.2","."
"Intro to Discrete Mathematics","240
001","25","2.920","24.0","28.0","24.0","4.0","4.0","8.0","8.0",".",".",".",".",".",".",".",".","."
"Topics in Calculus II","276
001","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Math","298
015","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
001","124","3.272","53.2","4.8","20.2","4.0","9.7","4.8","2.4",".",".",".",".",".",".",".",".","0.8"
"","319
002","85","2.806","30.6","5.9","24.7","2.4","23.5","10.6","2.4",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","209","3.082","44.0","5.3","22.0","3.3","15.3","7.2","2.4",".",".",".",".",".",".",".",".","0.5"
"","320
001","134","3.402","44.8","19.4","20.1","5.2","8.2","0.7","0.7","0.7",".",".",".",".",".",".",".","."
