"SCANDINAVIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","",""
"Research and Thesis","Course Total","13","",".",".",".",".",".",".","",".","100.0","",".",".",".",".","",".",".",".","."
"SCAND ST
872","Dept. Total","168","3.683","56.0","23.2","6.0","2.4","0.6","0.6","",".","10.7","",".",".",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.517","37.5","37.5","18.8","6.3",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","31","3.644","45.2","41.9","9.7","3.2",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","40","3.687","67.5","22.5","5.0","5.0",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","35","3.799","74.3","20.0",".",".","2.9",".","",".",".","",".",".",".","2.9","",".",".",".","."
"Undergraduates","","122","3.681","59.8","28.7","6.6","3.3","0.8",".","",".",".","",".",".",".","0.8","",".",".",".","."
"Special","","11","3.100","27.3","9.1","9.1",".",".","9.1","",".","45.5","",".",".",".",".","",".",".",".","."
"Graduate","","35","3.879","51.4","8.6","2.9",".",".",".","",".","37.1","",".",".",".",".","",".",".",".","."
"","Dept. Total","168","3.683","56.0","23.2","6.0","2.4","0.6","0.6","",".","10.7","",".",".",".","0.6","",".",".",".","."
