"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"100
Intro to Cultures of Asia","001","","75","3.699","54.7","34.7","4.0","2.7",".","1.3",".","2.7",".",".",".",".",".",".",".","."
"235
Genres-Asian Religious Writing","001","","7","2.714",".","42.9","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"246
SE Asian Refugees of Cold War","001","","11","3.545","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"265
Cen Asia: Silk Route-Afghan","001","","20","3.400","35.0","20.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"266
Intro to the Middle East","001","","96","3.717","59.4","25.0","6.3","4.2","1.0",".",".","4.2",".",".",".",".",".",".",".","."
"370
Islam: Religion and Culture","001","","14","3.538","28.6","50.0","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"421
Survey of Tibetan Buddhism","001","","10","3.400","30.0","40.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"441
Lang&Society-Southeast Asia","001","","22","3.300","45.5","13.6","13.6","4.5","4.5","9.1",".","9.1",".",".",".",".",".",".",".","."
"458
Hist SE Asia Since 1800","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"472
Women in Turkish Society","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"524
Indian Writers Abroad","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"579
Fiction&Ethnography in Turkey","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Prosmr:Intro-Turkic Linguis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"614
Soc Structrs-Muslim Society","001","","17","3.679","35.3","41.2","5.9",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"620
Studies in Religions of Asia","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Gods & Goddesses of South Asia","001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"651","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"651","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Politics of South Asia","Course Total","","5","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.897","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"873","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"873","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Lang & Lit of S Asia","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
