"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Wkshp-Ed Leadership & Pol Anal","502","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700","001","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","23","3.478","30.4","60.9","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725","001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","","Course Total","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Teaching-Learning: Adult Ed","748","001","","12","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Issues in Educ Policy Analysis","765","001","","9","3.643","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","17","3.867","64.7","23.5",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Eval:Adm Decision Making-Ed","826","001","","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","11","3.667","27.3","54.5",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Legal Aspects of Higher Ed","841","001","","19","3.556","52.6","31.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".","5.3","."
"The School Principalship","845","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","847","001","","25","3.917","80.0","16.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Org Theory&Behavior in Educ","860","001","","26","3.978","84.6","3.8",".",".",".",".",".",".",".",".",".",".","7.7",".","3.8","."
"Theory&Practice-Ed Planning","875","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Minority-Serving Inst-HigherEd","882","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"","915","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","","Course Total","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"","940","001","","21","3.950","85.7","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","940","002","","24","3.739","58.3","29.2","4.2","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","45","3.837","71.1","20.0","2.2","2.2",".",".",".",".",".",".",".",".","4.4",".",".","."
"","990","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","12","",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","10","",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".",".",".","."
"","990","032","","17","",".",".",".",".",".",".",".","94.1",".",".",".",".","5.9",".",".","."
"","990","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","9","",".",".",".",".",".",".",".","77.8",".",".",".",".","22.2",".",".","."
"","990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","","Page 87 of 413"
