"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"728
Barg,Negot,Dispute Settlmnt","001","","33","3.712","57.6","27.3","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"729
Bhv Anal-Mgt Decisn Making","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"738
WAVE Practicum II","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"765","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"774
Seminar-Arts Administration","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790
Master's Research and Thesis","005","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Reading & Rsch-Management","217","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"871
Smr-Personnel Management","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"975
Doctoral Rsch Smr in Mgmt","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"976
Doctoral Rsch Smr in Mgmt","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"977
Emerging Entrepreneurship","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","2","***","","","","","","","","","","","","","","","",""
"M H R
236","Dept. Total","","1310","3.465","48.0","18.5","22.1","3.9","4.7","0.9","0.8","0.7","0.1",".",".",".","0.2",".",".","."
