"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","8","3.458","62.5",".","12.5","12.5","12.5","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","10","3.429","50.0","10.0","20.0","10.0","10.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","98","3.239","2.0","7.1","14.3",".",".","",".","",".","76.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
