"","990
018","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","14","",".",".",".",".",".",".","",".","85.7","",".",".",".","14.3",".",".",".","."
"N E
684","Dept. Total","326","3.442","28.8","19.3","15.0","3.1","1.2","1.8","",".","11.0","",".","10.4","0.6","5.8","2.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.500","16.7",".","16.7",".",".",".","",".",".","",".","50.0","16.7",".",".",".",".","."
"Sophomore","","15","",".",".",".",".",".",".","",".",".","",".","93.3","6.7",".",".",".",".","."
"Junior","","24","3.333","8.3","25.0","20.8","4.2",".",".","",".",".","",".","41.7",".",".",".",".",".","."
"Senior","","102","3.407","38.2","23.5","20.6","2.0","2.0","3.9","",".",".","",".","5.9",".",".","3.9",".",".","."
"Undergraduates","","147","3.399","28.6","20.4","18.4","2.0","1.4","2.7","",".",".","",".","22.4","1.4",".","2.7",".",".","."
"Special","","14","2.802",".","14.3","35.7","28.6","7.1","7.1","",".",".","",".","7.1",".",".",".",".",".","."
"Graduate","","166","3.586","31.9","18.7","10.2","1.8","0.6","0.6","",".","21.7","",".",".",".","11.4","3.0",".",".","."
"","Dept. Total","327","3.442","29.1","19.3","15.0","3.1","1.2","1.8","",".","11.0","",".","10.4","0.6","5.8","2.8",".",".","."
