"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Women, Culture & Representn","101","001","108","3.612","46.3","35.2","13.0","2.8","1.9",".",".","0.9",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","147","3.431","29.3","44.9","16.3","3.4","2.7","1.4","0.7","1.4",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","372","3.618","55.9","22.8","11.6","5.1","1.3","0.3","0.8","2.2",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","85","3.333","42.4","23.5","16.5","9.4",".","4.7","2.4","1.2",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","19","3.528","57.9","5.3","21.1",".","10.5",".",".",".",".",".",".",".",".","5.3",".","."
"","310","001","37","3.529","32.4","35.1","27.0",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"","310","003","12","3.417","25.0","50.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Humanities","","Course Total","49","3.500","30.6","38.8","22.4","4.1",".",".",".",".",".",".",".",".","4.1",".",".","."
"Black Women in America","324","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Feminisms","325","001","36","3.667","52.8","27.8","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","74","3.466","23.0","45.9","28.4","1.4",".",".",".","1.4",".",".",".",".",".",".",".","."
"Childbirth in the US","431","001","24","3.595","33.3","37.5","16.7",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","34","3.338","32.4","23.5","35.3","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Women in Turkish Society","472","001","18","3.222","33.3","16.7","33.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"History of the (American) Body","532","001","14","3.464","42.9","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","43","3.698","65.1","23.3","2.3","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"Fem Thry&Women Writng-English","574","001","12","3.364","33.3","25.0","8.3","25.0",".",".",".",".",".",".",".",".","8.3",".",".","."
"Advanced Smr in Women's St","640","001","36","3.764","61.1","30.6","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Smr in LGBT St (Capstone)","642","001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women&Politics-Global Context","643","001","21","2.750","19.0","19.0","23.8","9.5","9.5","4.8","9.5","4.8",".",".",".",".",".",".",".","."
"Internatnl Developmnt & Gender","644","001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","654","001","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship-Women's Studies","660","001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis II","692","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.827","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth-Women Across Lifespan","735","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Women's/Gender Studies","900","001","13","3.615","76.9","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Sociological Perspectvs-Gender","904","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology of Gender","920","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","","Course Total","2","***","","","","","","","","","","","","","","","",""
