"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","",""
"","299
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Practicum-Fam & Consumer Educ","330
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Iss & Serv Learng","350
001","19","3.306","36.8","10.5","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","375
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","25","3.820","80.0","12.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","81","3.944","93.8","3.7","1.2",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","10","3.654","80.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"Meths-Teachng Fam & Consumr Ed","427
001","21","3.357","23.8","52.4","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","501
001","22","3.500","36.4","31.8","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","103","3.995","98.1","1.0",".",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"","501
003","25","3.840","76.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501
008","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","159","3.897","85.5","8.8","3.8","1.3",".",".",".","0.6",".",".",".",".",".",".",".","."
"Foundations of Educ for Work","660
001","10","3.667","70.0",".","10.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","793
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTER-HE
498","Dept. Total","327","3.821","80.1","10.1","4.3","3.1","1.2","0.3",".","0.3",".",".",".",".","0.3",".",".","0.3"
