"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","216","2.981","15.7","13.4","41.2","14.4","11.6","1.4","0.9","0.5",".",".",".",".","0.5",".","0.5","."
"","300
002","133","2.769","15.8","11.3","27.1","15.8","22.6","2.3","3.0","0.8",".",".",".",".","0.8",".","0.8","."
"","300
003","39","3.064","15.4","28.2","28.2","20.5","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","388","2.918","15.7","14.2","35.1","15.5","14.7","1.5","1.8","0.5",".",".",".",".","0.5",".","0.5","."
"","320
001","40","3.688","62.5","15.0","20.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","39","3.321","30.8","17.9","35.9","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","11","3.273","36.4","9.1","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","320
004","39","3.103","23.1","5.1","56.4","5.1","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","129","3.364","38.8","12.4","36.4","9.3","2.3","0.8",".",".",".",".",".",".",".",".",".","."
"","325
001","62","3.161","22.6","11.3","46.8","14.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","325
002","60","3.336","30.0","18.3","35.0","13.3",".",".",".",".",".",".",".",".","3.3",".",".","."
"Corporation Finance","Course Total","122","3.246","26.2","14.8","41.0","13.9","2.5",".",".",".",".",".",".",".","1.6",".",".","."
"","330
001","37","3.311","32.4","27.0","18.9","13.5","8.1",".",".",".",".",".",".",".",".",".",".","."
"","330
002","57","3.377","29.8","36.8","22.8","3.5","5.3","1.8",".",".",".",".",".",".",".",".",".","."
"","330
003","55","3.255","20.0","38.2","23.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","149","3.315","26.8","34.9","22.1","8.1","7.4","0.7",".",".",".",".",".",".",".",".",".","."
"","365
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","27","3.704","48.1","44.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","47","3.798","63.8","31.9","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","76","3.480","30.3","35.5","28.9","2.6",".",".",".","1.3",".",".",".",".",".","1.3",".","."
"Multinational Bus Finance","445
001","21","3.625","57.1","23.8","9.5",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","46","3.656","37.0","58.7",".",".","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Bank Simulation and Strategy","610
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","27","3.600","51.9","29.6","7.4",".",".",".","3.7","3.7",".",".",".",".",".",".","3.7","."
"","635
002","31","3.431","29.0","32.3","22.6","9.7",".",".",".",".",".",".",".",".",".",".","6.5","."
"Security Analysis","Course Total","58","3.509","39.7","31.0","15.5","5.2",".",".","1.7","1.7",".",".",".",".",".",".","5.2","."
"Investment Theory&Practice","720
001","9","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory & Applicatn","721
001","41","3.488","24.4","46.3","26.8",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Valuatn&Corp Investmnt Decisns","726
001","31","3.661","54.8","22.6","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate Finance Decisions","727
001","25","3.580","32.0","52.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","18","3.500","50.0","22.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","22","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","10","3.500","40.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Topics Seminar-Finance PhD","972
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 54 of 413"
