"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","256","3.119","7.8","29.7","40.6","18.8","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"","300
002","237","2.996","9.7","19.4","40.5","23.6","5.5",".","0.8","0.4",".",".",".",".",".",".",".","."
"","300
003","97","2.892","5.2","18.6","39.2","27.8","7.2","2.1",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","590","3.032","8.1","23.7","40.3","22.2","4.1","0.3","0.3","0.8",".",".",".",".",".",".",".","."
"","305
001","62","3.298","21.0","33.9","33.9","6.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","305
002","55","3.500","36.4","29.1","32.7","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","117","3.393","28.2","31.6","33.3","4.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","310
001","49","3.520","36.7","32.7","28.6","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","42","3.226","21.4","19.0","42.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","91","3.385","29.7","26.4","35.2","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","37","3.403","27.0","35.1","27.0","5.4","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"","399
118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
144","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","5","***","","","","","","","","","","","","","","","",""
"","415
001","46","3.380","23.9","30.4","43.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","65","3.469","23.1","46.2","29.2",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","111","3.432","23.4","39.6","35.1","0.9",".",".",".","0.9",".",".",".",".",".",".",".","."
"","425
001","20","3.300","15.0","40.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","39","3.282","23.1","33.3","23.1","17.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"","425
003","49","3.276","14.3","38.8","36.7","8.2","2.0",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","108","3.282","17.6","37.0","31.5","12.0","1.9",".",".",".",".",".",".",".",".",".",".","."
"","460
001","44","3.409","29.5","34.1","29.5","2.3","4.5",".",".",".",".",".",".",".",".",".",".","."
"","460
002","65","3.446","26.2","43.1","26.2","3.1","1.5",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","109","3.431","27.5","39.4","27.5","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","24","3.750","50.0","37.5","4.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","640
001","30","2.804","13.3","16.7","30.0","13.3","6.7","13.3",".","6.7",".",".",".",".",".",".",".","."
"","002
640","42","3.077","16.7","14.3","42.9","4.8","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"Retail Management","Course Total","72","2.963","15.3","15.3","37.5","8.3","11.1","5.6",".","6.9",".",".",".",".",".",".",".","."
"Marketing Research","710
001","30","3.583","43.3","30.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
001","46","3.609","52.2","21.7","23.9",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","715
030","55","3.455","29.1","32.7","38.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","101","3.525","39.6","27.7","31.7",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","38","3.566","39.5","34.2","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New Products:Practicm","737
001","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","63","3.906","87.3","11.1","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
