"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","17","3.000","41.2",".",".","35.3",".","11.8",".","5.9",".",".",".",".",".","5.9",".","."
"","155
001","14","3.286","35.7","35.7","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","155
002","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
005","13","2.962","23.1","38.5","23.1",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"","155
006","18","3.111","22.2","27.8","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","155
007","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","14","3.214","42.9","28.6",".",".","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","126","3.405","39.7","31.7","17.5","3.2","4.8","0.8","2.4",".",".",".",".",".",".",".",".","."
"","199
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
020","45","4.000","2.2",".",".",".",".",".",".","97.8",".",".",".",".",".",".",".","."
"","199
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Freshman Independent Study","Course Total","47","4.000","6.4",".",".",".",".",".",".","93.6",".",".",".",".",".",".",".","."
"","275
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","15","3.533","40.0","40.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","275
005","13","3.423","46.2","7.7","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","275
006","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
007","15","3.733","60.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","275
008","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","128","3.770","68.0","21.9","7.8","0.8","1.6",".",".",".",".",".",".",".",".",".",".","."
"Sophomore Independent Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","332
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","397
001","20","3.000","15.0","20.0","55.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","002
397","19","3.389","21.1","31.6","42.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","397
003","20","3.550","55.0","30.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","397
004","22","3.295","27.3","36.4","27.3","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","397
005","22","3.262","22.7","18.2","40.9","13.6",".",".",".",".",".",".",".",".","4.5",".",".","."
"","397
006","18","2.833","11.1",".","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.125","28.6","14.3","23.8","19.0","4.8","4.8",".",".",".",".",".",".","4.8",".",".","."
"","397
008","20","3.600","35.0","55.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","18","3.333","38.9","33.3","11.1",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","397
011","14","3.393","28.6","50.0","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","397
012","11","3.182","18.2","18.2","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","25","3.340","8.0","52.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","20","3.525","10.0","85.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","286","3.348","28.0","34.6","25.5","6.3","2.1","1.7","0.7",".",".",".",".",".","1.0",".",".","."
