"","990
021","3","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
022","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
079","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","9","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"S&A PHM
732","Dept. Total","483","3.377","40.2","13.9","34.2","6.2","3.7","",".","",".","1.9","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","3","3.833","66.7","33.3",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","9","3.632","66.7",".","22.2","11.1",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","11","3.860","81.8","9.1","9.1",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","24","3.779","75.0","8.3","12.5","4.2",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","27","4.000","66.7",".",".",".",".","",".","",".","33.3","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","140","3.149","25.0",".","65.7",".","9.3","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","134","3.041","8.2","19.4","47.8","21.6","3.0","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","153","3.821","70.6","24.8","3.9",".","0.7","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","5","3.909","80.0","20.0",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","432","3.337","36.6","15.0","37.5","6.7","4.2","",".","",".",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","483","3.377","40.2","13.9","34.2","6.2","3.7","",".","",".","1.9","",".",".",".","",".","",".",".",".","."
