"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","134","2.776","11.2","10.4","29.1","31.3","14.9","0.7","2.2",".",".",".",".",".",".",".",".","."
"","100","002","133","2.858","10.5","12.8","35.3","24.1","12.0","2.3","0.8","2.3",".",".",".",".",".",".",".","."
"General Geology","","Course Total","267","2.816","10.9","11.6","32.2","27.7","13.5","1.5","1.5","1.1",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","16","3.167","43.8",".","12.5","18.8","18.8",".",".",".",".",".",".",".",".","6.3",".","."
"Environmental Geology","106","001","75","2.880","21.3","8.0","28.0","10.7","32.0",".",".",".",".",".",".",".",".",".",".","."
"Life of the Past","107","001","65","2.585","16.9","7.7","30.8","13.8","12.3","12.3","6.2",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","190","2.646","15.8","8.4","35.8","6.3","19.5","8.4","5.3","0.5",".",".",".",".",".",".",".","."
"Life in the Universe","160","001","34","2.500","17.6","8.8","11.8","23.5","5.9","20.6","2.9","5.9",".",".",".",".",".",".","2.9","."
"","199","004","13","3.885","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","17","3.903","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Earth Materials","203","001","38","3.230","26.3","15.8","34.2","18.4","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Geobiology","304","001","9","2.778","11.1","11.1","33.3","11.1","33.3",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","20","3.100","30.0","10.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","185","3.278","33.0","25.4","20.0","7.6","5.4","4.9",".","2.7",".",".",".",".",".",".","1.1","."
"Topics in Geology","376","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Geophysics","390","001","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","21","3.139","14.3","19.0","33.3","14.3","4.8",".",".","9.5",".",".",".",".","4.8",".",".","."
"Structural Geology","455","001","21","3.095","14.3","14.3","57.1","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Geologic Field Methods","456","001","14","3.154","21.4","14.3","42.9",".","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","001","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Monsters & Science: A History","517","001","32","3.426","12.5","46.9","25.0",".",".",".",".","12.5",".",".",".",".",".",".","3.1","."
"Recent Marine Sediments","551","001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","692","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.962","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Igneous Petrology","771","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interfacial Biogeochemistry","776","001","8","3.438","12.5","75.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Physics of the Earth II","796","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","34","4.000","91.2",".",".",".",".",".",".",".",".",".",".",".",".","8.8",".","."
"","875","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","003","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875","004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
