"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","17","3.235","29.4","29.4","11.8","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"","101
006","19","3.361","26.3","31.6","26.3","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","101
008","15","3.357","26.7","46.7","6.7","6.7",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"","101
009","15","3.500","40.0","40.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","101
010","20","3.632","50.0","25.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","101
011","17","3.423","35.3","11.8","17.6","5.9","5.9",".",".","17.6","5.9",".",".",".",".",".",".","."
"","101
012","14","3.500","42.9","21.4",".","21.4",".",".",".","14.3",".",".",".",".",".",".",".","."
"First Semester French","Course Total","135","3.476","37.8","31.9","11.1","8.1","3.7","0.7",".","5.9","0.7",".",".",".",".",".",".","."
"","102
002","23","3.196","21.7","39.1","17.4","17.4",".",".","4.3",".",".",".",".",".",".",".",".","."
"","102
004","16","3.469","37.5","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","17","3.500","35.3","41.2","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
007","16","3.300","25.0","43.8","12.5",".","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"","102
008","19","3.237","26.3","21.1","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102
009","19","3.406","26.3","31.6","15.8","5.3","5.3",".",".","10.5",".",".",".",".",".",".","5.3","."
"","102
010","17","3.412","47.1","11.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","127","3.350","30.7","31.5","19.7","9.4","3.9","0.8","0.8","2.4",".",".",".",".",".",".","0.8","."
"","203
002","17","3.412","23.5","52.9","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.556","36.8","31.6","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","203
005","17","3.647","47.1","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
008","13","3.038","15.4","30.8","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","81","3.475","37.0","35.8","13.6","8.6","3.7",".",".","1.2",".",".",".",".",".",".",".","."
"","204
001","17","3.265","23.5","35.3","29.4","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","204
002","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","20","3.575","30.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","16","3.063","12.5","37.5","18.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","204
006","23","3.348","34.8","34.8","21.7",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","204
008","14","3.179","7.1","50.0","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","100","3.325","24.0","43.0","20.0","6.0","5.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","228
002","18","3.368","22.2","38.9","27.8",".","5.6",".",".",".","5.6",".",".",".",".",".",".","."
"","228
004","22","3.375","27.3","40.9","13.6","9.1",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","228
005","22","3.800","68.2","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","228
007","22","3.278","4.5","59.1","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","228
008","20","2.703","10.0","40.0","10.0","10.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","104","3.304","26.9","41.3","14.4","6.7","4.8","2.9","1.0","1.0","1.0",".",".",".",".",".",".","."
"","271
002","24","3.656","54.2","37.5","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","271
003","12","3.705","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","21","3.328","19.0","61.9","9.5",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","57","3.546","38.6","50.9","5.3",".","1.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","46","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","14","3.107","7.1","35.7","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","311
003","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","Course Total","30","3.450","36.7","30.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","321
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 209 of 413",""
