"","575
007","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clinical Lab Science Practicum","Course Total","18","3.961","94.4","5.6",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Smr-Lab Operatns & Qual Contrl","625
001","11","2.545","9.1","9.1","9.1","27.3","45.5",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Current Issues Seminar","640
001","20","3.950","90.0","10.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
628","Dept. Total","306","3.505","45.8","24.8","22.2","2.9","4.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","7","3.143",".","28.6","71.4",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","27","3.333","25.9","25.9","40.7",".","7.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","173","3.559","50.9","24.9","21.4","1.2","1.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","207","3.518","45.9","25.1","25.6","1.0","2.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","99","3.467","45.5","24.2","15.2","7.1","8.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","306","3.505","45.8","24.8","22.2","2.9","4.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
