"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","170
002","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","","16","3.750","75.0","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","","50","3.700","62.0","18.0","18.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","","60","3.242","20.0","38.3","25.0","10.0","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","","97","2.979","18.6","15.5","39.2","7.2","15.5","3.1","1.0",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","","29","3.448","44.8","27.6","13.8","6.9","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","252
001","","22","3.000","22.7","22.7","13.6","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","252
002","","26","3.308","23.1","46.2","11.5","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","","48","3.167","22.9","35.4","12.5","14.6","12.5","2.1",".",".",".",".",".",".",".",".",".","."
"","270
001","","14","3.286","28.6","21.4","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","270
002","","16","3.750","62.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","","17","3.559","58.8","17.6","11.8",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","270
005","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","","67","3.679","65.7","16.4","10.4","3.0","4.5",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","","20","3.475","30.0","40.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","","39","3.115","23.1","10.3","53.8","2.6","7.7",".","2.6",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","","19","3.316","47.4","15.8","10.5","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","","53","2.887","18.9","22.6","15.1","22.6","13.2","5.7","1.9",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","","44","2.625","13.6","20.5","20.5","9.1","25.0","2.3","9.1",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","","29","3.214","34.5","24.1","17.2","10.3","3.4","3.4","3.4",".",".",".",".",".","3.4",".",".","."
"State Space System Analysis","334
001","","9","2.889","22.2","22.2","22.2",".","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","","41","2.878","14.6","36.6","17.1","12.2","4.9","9.8","4.9",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 113 of 413",""
