"","999
057","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
059","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
063","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
068","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","29","3.939","69.0","3.4","3.4",".",".",".",".","10.3","",".",".","",".",".","10.3",".","3.4","."
"HISTORY
448","Dept. Total","3593","3.335","29.0","29.0","21.0","7.1","3.2","1.0","1.0","6.3","",".",".","",".","0.9","0.8","0.4","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","203","3.023","16.7","29.1","28.6","10.8","5.9","2.0","4.4",".","",".",".","",".",".","2.0","0.5",".","."
"Sophomore","","601","3.234","23.3","30.6","26.0","12.6","3.7","1.2","1.0","0.2","",".",".","",".",".","0.8","0.3",".","0.3"
"Junior","","915","3.304","29.3","31.6","23.6","7.3","4.0","1.6","1.3","0.7","",".",".","",".",".","0.3",".",".","0.2"
"Senior","","1473","3.396","31.4","32.2","21.5","5.9","3.0","0.5","0.5","3.1","",".",".","",".","0.5","0.9","0.1","0.1","0.2"
"Undergraduates","","3192","3.311","28.3","31.5","23.4","7.9","3.6","1.1","1.1","1.7","",".",".","",".","0.3","0.8","0.1","0.0","0.2"
"Special","","123","3.228","4.1","6.5","2.4","1.6","0.8","0.8",".","73.2","",".",".","",".",".",".","9.8","0.8","."
"Graduate","","277","3.883","47.7","9.7","2.2",".",".",".",".","30.0","",".",".","",".","8.3","1.8",".","0.4","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","3593","3.335","29.0","29.0","21.0","7.1","3.2","1.0","1.0","6.3","",".",".","",".","0.9","0.8","0.4","0.1","0.2"
