"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"140
Intro-Community & Envir Soc","001","","34","3.588","61.8","11.8","8.8","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"210
Survey of Sociology","001","","19","3.079","26.3","21.1","10.5","26.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"245
Technology and Society","001","","7","3.357","57.1","14.3",".",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"357","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"357","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","18","3.361","33.3","38.9","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"360","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"360","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","17","3.827","82.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"434
People, Wildlife & Landscapes","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Hlth Care Iss:Ind, Fam, Soc","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Soc Bhv & Natural Resources","001","","7","3.429",".","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Knowledge and Society","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"731
InterSocPsych-Group&Collect","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"904
Sociological Perspectvs-Gender","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 40 of 413"
