"CHICANA/O & LATINA/O STUDIE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102","001","","18","3.564","50.0","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chicana/o & Latina/o St","230","001","","23","3.614","52.2","21.7","17.4",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","","34","3.015","8.8","32.4","38.2","5.9","8.8","5.9",".",".",".",".",".",".",".",".",".","."
"American West Since 1850","462","001","","43","3.266","20.9","37.2","25.6","7.0","9.3",".",".",".",".",".",".",".",".",".",".","."
"","530","001","","14","3.885","85.7",".",".","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"","530","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","","Course Total","","19","3.898","89.5",".",".","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
