"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116","001","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","47","3.904","80.9","19.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","112","3.438","33.0","39.3","17.0","7.1","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","39","3.551","46.2","28.2","20.5",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"","197","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","","Course Total","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","42","3.429","31.0","28.6","38.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315","001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","42","3.286","28.6","19.0","42.9",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321","001","37","3.730","59.5","29.7","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","323","001","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","25","3.880","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","49","3.908","87.8","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","34","3.471","29.4","38.2","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","60","3.664","63.3","18.3","8.3",".","5.0","1.7",".","1.7",".",".",".",".",".",".","1.7","."
"Phys Agnts-Treat Athl Injry","357","001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","40","3.588","52.5","20.0","20.0","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","25","3.660","60.0","20.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","399","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","8","3.909","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Teaching Secondary PE","462","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","38","3.816","71.1","23.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","25","3.460","32.0","36.0","28.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
