"","990
084","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
085","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
086","3","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","50","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"PHM SCI
718","Dept. Total","969","3.420","46.1","18.1","19.9","6.2","2.8","0.4","",".","6.5","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.500","58.3",".","25.0","16.7",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","40","3.630","57.5","22.5","12.5","2.5","5.0",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","53","3.738","67.9","18.9","11.3",".",".","1.9","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","73","3.589","64.4","8.2","19.2","1.4","2.7","1.4","",".","2.7","",".",".",".","",".","",".",".",".","."
"Undergraduates","","178","3.636","63.5","14.0","15.7","2.2","2.2","1.1","",".","1.1","",".",".",".","",".","",".",".",".","."
"Special","","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","136","3.783","45.6","6.6","4.4",".",".",".","",".","43.4","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","189","3.033","33.3","18.0","20.6","18.5","8.5","1.1","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","397","3.466","39.3","23.9","30.0","5.0","1.8",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","63","3.858","76.2","19.0","1.6","1.6",".",".","",".","1.6","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","3","4.000","66.7",".",".",".",".",".","",".","33.3","",".",".",".","",".","",".",".",".","."
"Professionals","","652","3.347","41.3","21.6","24.4","8.6","3.5","0.3","",".","0.3","",".",".",".","",".","",".",".",".","."
"","Dept. Total","969","3.420","46.1","18.1","19.9","6.2","2.8","0.4","",".","6.5","",".",".",".","",".","",".",".",".","."
