"","LANG & CULTURES OF ASIA - LA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Filipino","306","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Hmong","308","001","","22","3.750","63.6","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Indonesian","310","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","318","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Vietnamese","320","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","322","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","322","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","322","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Arabic","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Second Semester Kazak","332","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Pashto","334","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","340","001","","9","3.875","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","354","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","354","002","","9","3.278","55.6","11.1","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Second Semester Hindi","","Course Total","","13","3.500","69.2","7.7","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Second Semester Persian","364","001","","10","3.444","50.0",".","20.0","20.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Second Semester Modern Tibetan","370","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Urdu","372","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Sanskrit","376","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Filipino","406","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hmong","408","001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Indonesian","410","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Thai","418","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Vietnamese","420","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Kazak","432","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Pashto","434","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","440","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hindi","454","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Persian","464","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Urdu","472","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Sanskrit","476","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hmong","508","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Indonesian","510","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Thai","518","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Vietnamese","520","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Kazak","532","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Turkish & Azeri","540","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hindi","554","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Persian","564","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Urdu","572","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thai Prose: The Short Story","618","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 243 of 413",""
