"BUS","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","52","3.882","86.5","3.8","5.8",".","1.9",".",".","",".",".","",".",".","",".","","1.9",".",".","."
"Actuarial Science Methods II","301
001","80","3.911","90.0","3.8","2.5","1.3","1.3",".",".","",".",".","",".",".","",".","","1.3",".",".","."
"Theory-Interst & Life Insur","303
001","77","3.303","31.2","28.6","16.9","15.6","5.2","1.3",".","",".",".","",".",".","",".","","1.3",".",".","."
"Actuarial Mathematics II","651
001","46","3.152","23.9","15.2","37.0","15.2","8.7",".",".","",".",".","",".",".","",".","",".",".",".","."
"Loss Models II","653
001","41","3.263","36.6","14.6","31.7","2.4","7.3","4.9",".","","2.4",".","",".",".","",".","",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","55","3.373","21.8","32.7","43.6","1.8",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"ACT SCI
242","Dept. Total","351","3.384","51.0","16.5","20.5","6.3","3.7","0.9","",".","0.3","",".",".","",".","",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","2.800","66.7",".",".",".","33.3",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","79","3.440","62.0","13.9","10.1","7.6","1.3","1.3","",".",".","",".",".","",".","",".","3.8",".",".","."
"Junior","","119","3.502","65.5","13.4","12.6","5.0","2.5","0.8","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","137","3.302","33.6","21.2","30.7","7.3","5.8","0.7","",".","0.7","",".",".","",".","",".",".",".",".","."
"Undergraduates","","338","3.384","51.8","16.6","19.2","6.5","3.8","0.9","",".","0.3","",".",".","",".","",".","0.9",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","12","3.333","25.0","16.7","58.3",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","351","3.384","51.0","16.5","20.5","6.3","3.7","0.9","",".","0.3","",".",".","",".","",".","0.9",".",".","."
