"","991
043","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","991
054","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","991
063","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","26","",".",".",".",".",".",".",".","76.9","",".",".",".","23.1",".",".",".","."
"NUTR SCI
694","Dept. Total","1295","3.034","25.6","17.2","25.0","11.7","13.9","2.5","0.8","2.5","",".",".",".","0.5","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","226","2.773","12.4","13.3","30.1","19.5","18.1","6.6",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","307","2.996","18.9","23.1","24.8","13.4","16.6","2.6","0.7",".","",".",".",".",".",".",".",".","."
"Junior","","227","2.992","19.8","16.7","32.2","12.3","15.0","2.2","0.9","0.4","",".",".",".",".","0.4",".",".","."
"Senior","","400","3.161","34.5","16.8","21.8","8.8","13.3","1.3","1.8","2.0","",".",".",".",".",".",".",".","."
"Undergraduates","","1160","3.006","23.2","17.8","26.2","12.8","15.4","2.8","0.9","0.8","",".",".",".",".","0.1",".",".","."
"Special","","13","3.468","46.2","7.7","15.4","15.4",".",".",".","7.7","",".",".",".",".",".",".","7.7","."
"Graduate","","118","3.595","45.8","13.6","14.4","0.8","0.8",".",".","19.5","",".",".",".","5.1",".",".",".","."
"Prof Yr 1","","2","3.500","50.0",".","50.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","4","3.625","75.0",".","25.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","1295","3.034","25.6","17.2","25.0","11.7","13.9","2.5","0.8","2.5","",".",".",".","0.5","0.1",".","0.1","."
