"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"302
Dy Cattle Husbandry Practicum","001","","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","26","2.769","11.5","23.1","11.5","23.1","26.9","3.8",".",".",".",".",".",".",".",".",".","."
"313","001","","18","3.750","72.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","12","3.458","66.7","16.7",".","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","30","3.633","70.0","13.3","6.7","6.7",".",".","3.3",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","29","2.879","17.2","10.3","41.4",".","27.6","3.4",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","23","3.022","34.8","13.0","26.1","8.7","8.7",".","8.7",".",".",".",".",".",".",".",".","."
"375","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.886","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"433
Dairy Herd Management","001","","35","3.271","20.0","28.6","40.0","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"468
Envir Impact-Livestock Operatn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","6","3.357","16.7","33.3","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"900","001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
