"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Res Methods-Libr&Info Study","Course Total","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Topics in Rsch Meths-L I S","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Fld Project-Lib&Info Literacy","001","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"847","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"847","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"847","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in User Services","Course Total","","15","3.854","73.3","13.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"861
Information Architecture","001","","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Smr-Info Pol, Mgmt&Institutns","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"976
Probs-Archives: Manuscripts","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"977","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"977","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archives: Manuscripts Adm","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","18","3.890","83.3","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
