"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","996
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
071","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","26","3.972","92.3","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","999
002","8","3.923","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
008","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
009","17","3.838","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
010","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","10","3.944","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","12","3.813","83.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","999
034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","6","3.679","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
071","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
074","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
077","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","999
080","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","174","3.932","90.8","5.7","1.1",".","1.1",".",".",".",".",".",".",".",".","0.6","0.6","."
