"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","89","2.747","11.2","18.0","22.5","18.0","15.7","4.5","3.4","5.6",".",".",".",".",".",".",".","1.1"
"Renaissance to Modern Art","202","001","168","3.103","15.5","30.4","22.6","11.9","3.0","5.4","0.6","10.1",".",".",".",".","0.6",".",".","."
"Survey-Photogrphy:1839-1989","206","001","96","2.903","29.2","14.6","20.8","10.4","8.3","8.3","5.2","3.1",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","6","2.500","16.7","16.7","16.7",".",".","33.3",".","16.7",".",".",".",".",".",".",".","."
"Greek Sculpture","302","001","38","3.145","34.2","7.9","21.1","5.3","7.9",".","5.3","15.8",".",".",".",".",".",".",".","2.6"
"Art & Archaeology-Ancient Rome","304","001","21","3.100","23.8","19.0","33.3","9.5",".","9.5",".",".",".",".",".",".","4.8",".",".","."
"Donatello-da Vinci:14-1500","322","001","48","2.905","4.2","25.0","14.6","18.8","14.6",".",".","20.8",".",".",".",".","2.1",".",".","."
"Netherlandish Painting-15c","331","001","12","3.250","25.0","25.0","16.7",".","16.7",".",".","8.3",".",".",".",".","8.3",".",".","."
"Netherlandish Painting-17c","333","001","28","3.115","25.0","21.4","25.0","7.1","7.1","7.1",".","7.1",".",".",".",".",".",".",".","."
"Cities&Sanctuaries-Anc Greece","405","001","26","3.040","30.8","23.1","15.4","7.7","11.5",".","7.7","3.8",".",".",".",".",".",".",".","."
"Topics in 19th Century Art","407","001","31","3.583","48.4","38.7","3.2","3.2",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"Topics in Twentieth-Cent Art","408","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race&Gender-Ital Early Mod Art","425","001","17","3.333","23.5","23.5","29.4","11.8",".",".",".",".",".",".",".",".","11.8",".",".","."
"Hist-Am Vernclr Archtr&Landscp","457","001","34","3.554","29.4","35.3","14.7","2.9",".",".",".","17.6",".",".",".",".",".",".",".","."
"Japanese Ceramics&Allied Arts","475","001","28","3.604","39.3","28.6","14.3","3.6",".",".",".","10.7",".",".",".",".",".",".","3.6","."
"Prosem:Spec Topics-Art Hist","500","001","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"20th Cent European Art","556","001","12","3.230","41.7","16.7","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Japanese Art","575","001","8","3.500","50.0","12.5","12.5",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"","600","001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","21","3.700","52.4","28.6","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","704","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Medieval Art","815","001","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
