"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","001","","28","3.661","32.1","67.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","002","","25","3.460","20.0","52.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed Engineering Design","Course Total","","53","3.566","26.4","60.4","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","001","","44","3.409","15.9","50.0","34.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","60","3.400","30.0","31.7","30.0","5.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","7","3.429","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"399","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"402
Biomedical Engineering Design","001","","44","3.614","34.1","54.5","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","86","3.198","10.5","40.7","31.4","12.8","4.7",".",".",".",".",".",".",".",".",".",".","."
"489","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"505
Biofluidics","001","","12","3.273","16.7","33.3","25.0","16.7",".",".",".","8.3",".",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","25","3.860","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","29","3.517","27.6","48.3","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","15","3.500","33.3","33.3","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"574
Med Imag Sci:Stochastic Aspect","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Diagnos Ultrasound Physics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 103 of 413",""
