"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"321","002","","20","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"321","003","","16","3.533","68.8","6.3","6.3","6.3",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","Course Total","","52","3.657","53.8","34.6","5.8","1.9",".",".","1.9","1.9",".",".",".",".",".",".",".","."
"322","002","","20","3.600","60.0","15.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"322","003","","20","3.763","50.0","45.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","Course Total","","40","3.679","55.0","30.0","7.5","2.5","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"347","001","","25","3.440","56.0","12.0","20.0","4.0",".","8.0",".",".",".",".",".",".",".",".",".","."
"347","002","","29","3.536","55.2","20.7","10.3","6.9",".",".","3.4","3.4",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","Course Total","","54","3.491","55.6","16.7","14.8","5.6",".","3.7","1.9","1.9",".",".",".",".",".",".",".","."
"348
Modernity Studies","001","","22","3.364","36.4","27.3","27.3",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"429
Intro to Romance Languages","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"431
Readings in Early Modern Lit","001","","21","3.524","47.6","28.6","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"440
African/Francophone Film","001","","24","3.543","37.5","33.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".","4.2","."
"461
French/Francophone Lit Studies","001","","13","3.038","23.1","23.1","30.8","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"555
Colloq: Research Possibilities","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"595
Thry/Prac-Francophone Drama","001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Communication orale","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Le Siecle des Lumieres","001","","11","3.056","18.2","36.4","9.1","9.1",".",".","9.1","18.2",".",".",".",".",".",".",".","."
"642
Culture et societes","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Intro aux etudes francphone","001","","13","3.545","61.5","15.4",".",".",".",".","7.7","15.4",".",".",".",".",".",".",".","."
"699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.389","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"793
Prof French Masters Prg Intern","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.963","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Issues-Mthds Teachng Fr&Itl","001","","22","3.833","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"948
Smr: Questions-Litterature","001","","15","3.367","60.0","13.3","6.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
