"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Practicum-Secondary Sci Ed","290
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","28","3.839","75.0","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang & Lit-Secondary Curric","Course Total","","59","3.915","86.4","10.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art and Design in Teaching","Course Total","","48","3.969","95.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Fam & Consumer Educ","330
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Gen Music-Secndry Schl","334
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Instrumental Music-Sec","336
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Educ Practicum One","340
001","","47","",".",".",".",".",".",".",".",".",".","97.9",".",".",".",".",".","."
"Teaching World Languages(6-12)","343
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Music","Course Total","","47","3.968","95.7","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
001","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
002","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","Course Total","","48","3.969","95.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","47","3.883","80.9","17.0",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","47","3.883","83.0","10.6","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
