"","999
152","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
156","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
198","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","43","3.984","88.4","2.3",".",".",".","",".",".","4.7","",".",".","",".","2.3","2.3",".",".","."
"CURRIC
272","Dept. Total","2163","3.929","68.5","5.3","1.3","0.2","0.2","",".","0.0","4.3","",".","17.5","",".","1.3","1.1","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.630","62.5","25.0",".",".","12.5","",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","31","3.747","74.2","16.1","3.2",".","6.5","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","162","3.883","67.3","9.3","2.5",".",".","",".","0.6",".","",".","19.8","",".",".",".",".",".","."
"Senior","","1250","3.924","64.9","5.8","1.6","0.3","0.2","",".",".",".","",".","27.0","",".",".","0.2",".",".","."
"Undergraduates","","1451","3.912","65.3","6.5","1.7","0.3","0.3","",".","0.1",".","",".","25.4","",".",".","0.1",".",".","."
"Special","","184","3.997","91.3","0.5",".",".",".","",".",".","0.5","",".","5.4","",".",".","1.1","0.5","0.5","."
"Graduate","","528","3.961","69.1","3.4","0.6","0.2",".","",".",".","17.4","",".",".","",".","5.3","3.8","0.2",".","."
"","Dept. Total","2163","3.929","68.5","5.3","1.3","0.2","0.2","",".","0.0","4.3","",".","17.5","",".","1.3","1.1","0.1","0.0","."
