"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","271","2.638","16.6","10.0","25.5","14.4","21.0","8.1","4.4",".",".",".",".",".",".",".",".","."
"","002
101","326","2.577","15.0","9.8","23.6","12.9","24.2","10.1","3.7",".",".",".",".",".",".","0.6",".","."
"Animal Biology","Course Total","597","2.605","15.7","9.9","24.5","13.6","22.8","9.2","4.0",".",".",".",".",".",".","0.3",".","."
"","102
001","21","3.714","66.7","19.0","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
002","23","3.239","34.8","26.1","17.4","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","102
003","22","3.432","18.2","50.0","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","3.810","71.4","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","23","3.783","82.6","8.7","4.3",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","102
006","21","3.524","38.1","33.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","20","3.725","60.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","13","3.192","7.7","38.5","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
009","19","3.605","52.6","26.3","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","010
102","24","3.771","58.3","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","24","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","21","3.643","47.6","38.1","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","24","3.417","29.2","41.7","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
015","23","3.543","52.2","17.4","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
016","18","3.278","27.8","27.8","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
017","20","3.800","75.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
018","22","3.341","36.4","31.8","4.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","382","3.586","50.5","28.5","13.4","4.5","2.6","0.3","0.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","126","2.622","15.1","7.9","31.7","7.1","21.4","11.9","2.4","0.8",".",".",".",".",".",".",".","1.6"
"","152
001","108","2.827","12.0","9.3","46.3","4.6","22.2","4.6",".",".",".",".",".",".",".",".",".","0.9"
"","152
002","92","2.797","14.1","12.0","38.0","6.5","21.7","4.3","2.2","1.1",".",".",".",".",".",".",".","."
"","152
003","81","3.074","23.5","14.8","38.3","4.9","16.0","2.5",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","281","2.889","16.0","11.7","41.3","5.3","20.3","3.9","0.7","0.4",".",".",".",".",".",".",".","0.4"
"Introductory Biology","153
001","49","2.163","2.0","10.2","26.5","2.0","32.7","22.4","4.1",".",".",".",".",".",".",".",".","."
"Directed Study","199
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","22","3.273","45.5","13.6","18.2","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","126","3.056","22.2","20.6","30.2","7.9","14.3","3.2","0.8",".",".",".",".",".","0.8",".",".","."
"Parasitology","350
001","64","2.703","10.9","6.3","42.2","9.4","25.0","4.7","1.6",".",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","13","3.192","46.2","7.7","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","400
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
400","12","3.500","33.3","50.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","13","3.526","38.5","46.2","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","123","2.840","18.7","13.0","25.2","12.2","26.0","3.3","0.8",".",".",".",".",".",".",".",".","0.8"
"General Ecology","460
001","34","3.059","26.5","2.9","50.0","2.9","14.7","2.9",".",".",".",".",".",".",".",".",".","."
"General Genetics","466
001","39","2.564","10.3","5.1","33.3","15.4","23.1","12.8",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","168","3.081","27.4","22.6","22.0","6.5","15.5","4.2","1.2","0.6",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473
001","8","3.438","50.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Modeling Animal Landscapes","504
001","21","3.432","28.6","23.8","47.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","73","2.951","23.3","5.5","39.7","9.6","16.4","2.7","1.4",".",".",".",".",".","1.4",".",".","."
