"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"875","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","008","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","009","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","33","3.889","78.8","21.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Topics in Mass Communication","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"902
Public Opinion-Life Sci Issues","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","",".",".",".",".",".",".",".","93.3",".",".",".","6.7",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","8","3.864","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
