"HISTORY OF SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","",""
"202
Making of Modern Science","001","","72","3.205","18.1","22.2","36.1","12.5","1.4","1.4",".","6.9",".",".",".",".",".",".",".","1.4"
"212
The Physician in History","001","","94","3.231","12.8","44.7","26.6","9.6","4.3",".","1.1","1.1",".",".",".",".",".",".",".","."
"222
Technol&Social Chng in Hist","001","","61","3.279","21.3","36.1","32.8","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"284
Physician in Hist (Honors)","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"323
Sci Revol:Copernicus-Newton","001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"326
Hist of Phys: Modern Period","001","","22","3.306","22.7","31.8","9.1","9.1","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"333
History of Modern Biology","001","","20","3.526","45.0","30.0","15.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"339
Technol & Critics Since WW II","001","","28","3.161","10.7","39.3","32.1","14.3",".","3.6",".",".",".",".",".",".",".",".",".","."
"353
History of Ecology","001","","8","3.643","25.0","62.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","31","3.433","54.8","3.2","25.8","9.7",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"532
History of the (American) Body","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"553
Internl Hlth & Global Society","001","","44","3.407","22.7","38.6","31.8","4.5",".",".",".",".",".",".",".",".","2.3",".",".","."
"555
Undergrad Smr-Hist of Sci","001","","8","3.500","75.0",".",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Hist-Evolutionary Thought","001","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"623
Studies in Early Modern Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"639
Technol&Its Critics Since WWII","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"668","001","","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"668","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","Course Total","","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919
Grad Studies-Medical Hist","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"921
Seminar-Special Topics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Seminar:Research and Thesis","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"950
History of Science Colloq","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
