"","569
001","","3","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","569
020","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","569
097","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics II","Course Total","","5","***","","","","","","","","","","","","","","","","","","","","","","","",""
"E P
347","Dept. Total","","25","3.909","84.0","8.0","4.0","",".","",".","",".","",".","",".","",".",".","",".","",".","4.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","19","3.880","78.9","10.5","5.3","",".","",".","",".","",".","",".","",".",".","",".","",".","5.3",".",".","."
"Undergraduates","","","20","3.882","80.0","10.0","5.0","",".","",".","",".","",".","",".","",".",".","",".","",".","5.0",".",".","."
"Graduate","","","5","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","25","3.909","84.0","8.0","4.0","",".","",".","",".","",".","",".","",".",".","",".","",".","4.0",".",".","."
