"MEDICAL HISTORY AND BIOETH Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","",""
"212
The Physician in History","001","","31","3.226","22.6","38.7","16.1","12.9","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"284
Physician in Hist (Honors)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"333
History of Modern Biology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"431
Childbirth in the US","001","","13","3.308","23.1","38.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"523
Race, Amer Med & Pub Health","001","","31","3.690","58.1","16.1","16.1","3.2",".",".",".","3.2",".",".",".",".","3.2",".",".","."
"532
History of the (American) Body","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"553
Internl Hlth & Global Society","001","","17","3.471","35.3","29.4","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"558
Ethical Probs-Biomed Tech","001","","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"559","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"559","002","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"559","003","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","Course Total","","29","3.724","55.2","37.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"668","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"668","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"728
Biomedical Ethics and Society","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"734
Grad Studies in Med Ethics","001","","9","3.111","11.1","22.2","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"753
Int'l Health & Global Society","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
