"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"","325
004","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","","93","3.731","64.5","18.3","16.1","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","326
001","","20","3.350","35.0","30.0","20.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","326
002","","24","3.542","41.7","37.5","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","326
003","","27","3.907","92.6","3.7",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","","71","3.627","59.2","22.5","9.9","1.4","7.0",".",".",".",".",".",".",".",".",".",".","."
"","327
001","","24","3.604","62.5","12.5","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","327
002","","21","3.524","38.1","38.1","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","","45","3.567","51.1","24.4","13.3","8.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"Spanish for Business","329
001","","21","3.475","42.9","23.8","14.3","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","363
001","","25","3.579","40.0","40.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","417
001","","26","3.638","65.4","26.9","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","","77","3.740","64.9","18.2","11.7","1.3","1.3",".",".",".",".",".",".",".","1.3","1.3",".","."
"Topics in Spanish Linguistics","446
001","","18","3.167","16.7","33.3","44.4",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Lit-Twentieth Century","453
001","","20","3.427","60.0",".","25.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","460
001","","17","3.529","58.8","11.8","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","460
002","","25","3.663","56.0","24.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","","20","3.786","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","","62","3.668","58.1","24.2","11.3","4.8","1.6",".",".",".",".",".",".",".",".",".",".","."
"Lit&Film in Spanish America","465
001","","24","3.380","33.3","25.0","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","468
001","","22","3.775","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
002","","25","3.709","56.0","28.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","47","3.740","57.4","31.9","10.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surv-Sp Am Lit:Modrn-Presnt","502
001","","24","3.795","54.2","37.5",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Hist-Teoria Lit: C XIX-XX","628
001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Topics-Hispanic Cult Studies","715
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Spanish American Lit","802
001","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Syntax & Lexicography","813
001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Smr: Modern Spanish","815
001","","13","3.773","46.2","38.5",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"LBA, Celestina, Corbacho","841
001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Golden Age Poetry","853
001","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 312 of 413",""
