"","E ASIAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","102","3.586","56.9","18.6","12.7","2.9","3.9","2.0",".","2.0",".",".",".",".",".",".",".","1.0"
"Second Semester Japanese","104","001","101","3.194","23.8","28.7","19.8","12.9","10.9","1.0",".",".",".",".",".",".","2.0","1.0",".","."
"Elementary Korean","106","001","24","3.750","58.3","20.8","12.5",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","121","001","22","3.825","77.3","4.5","4.5",".","4.5",".",".","9.1",".",".",".",".",".",".",".","."
"","121","002","21","3.650","57.1","19.0","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","43","3.738","67.4","11.6","9.3",".","4.7",".",".","7.0",".",".",".",".",".",".",".","."
"","123","001","25","3.457","40.0","20.0","24.0",".","8.0",".",".","8.0",".",".",".",".",".",".",".","."
"","123","002","21","3.786","66.7","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","123","003","25","3.375","44.0","28.0","8.0","4.0","4.0","8.0",".","4.0",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","71","3.529","49.3","25.4","11.3","2.8","4.2","2.8",".","4.2",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","47","3.444","51.1","21.3","8.5","8.5",".","4.3","2.1","2.1",".",".",".",".",".",".",".","2.1"
"Fourth Semester Japanese","204","001","43","3.395","41.9","27.9","16.3","4.7","4.7","4.7",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","41","3.075","2.4","53.7","24.4","9.8","2.4",".","4.9",".",".",".",".",".","2.4",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","22","3.159","45.5","18.2","13.6","4.5","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","299","037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.818","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","15","3.500","40.0","20.0","26.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","300","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","24","3.696","62.5","12.5","16.7","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","46","3.739","67.4","21.7","4.3","4.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","25","3.260","36.0","16.0","28.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","36","3.443","36.1","36.1","8.3","11.1","5.6",".",".",".",".",".",".",".","2.8",".",".","."
"Elementary Korean","326","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","22","3.727","68.2","22.7",".","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","33","3.636","63.6","21.2","6.1","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","27","3.385","25.9","44.4","11.1","7.4","7.4",".",".",".",".",".",".",".","3.7",".",".","."
"Intro to Confucianism","363","001","23","3.068","21.7","21.7","21.7","17.4","8.7","4.3",".","4.3",".",".",".",".",".",".",".","."
"Japanese Poetic Tradition","367","001","12","3.345","16.7","50.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","31","3.050","29.0","9.7","38.7","6.5","6.5",".","6.5","3.2",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","8","3.788","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","18","3.361","33.3","16.7","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Korean","406","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chinese Ling","432","001","54","3.657","55.6","29.6","7.4",".","1.9",".","1.9","3.7",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 194 of 413",""
