"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"557
Issues in Social Philosophy","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Ethical Probs-Biomed Tech","001","","15","3.143","6.7","33.3","40.0","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"581
Senior Honors Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699
Directed Study","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"835
Advanced History-Philosophy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Smr-Philosophy of Science","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941
Seminar-Ethics","001","","12","3.682","50.0","25.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"960
Metaphysics Seminar","001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","12.5","12.5",".","."
"961
Smr-Philosophy of Religion","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","36","",".",".",".",".",".",".",".","86.1",".",".",".","13.9",".",".",".","."
"999","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","9","3.909","66.7",".","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
