"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"100
Introduction to Forestry","001","","118","3.397","52.5","16.9","14.4","3.4","4.2","4.2","2.5","0.8",".",".",".",".",".",".","0.8","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"300
Forest Biometry","001","","14","3.429","50.0","14.3","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","51","3.029","23.5","23.5","25.5","9.8","7.8","9.8",".",".",".",".",".",".",".",".",".","."
"312
Wood Identification","001","","11","3.700","45.5","36.4","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"314
Wood, Industrial Use,&Society","001","","11","3.500","45.5","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","17","3.294","35.3","23.5","29.4",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"375","001","","13","3.154","15.4","15.4","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"375","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","004","","6","3.417","66.7",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","37","3.695","62.2","5.4","18.9","8.1","2.7",".",".",".",".",".",".",".",".",".",".","2.7"
"379
Princ-Wildlife Management","001","","45","3.544","37.8","40.0","17.8","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"410
Principles of Silviculture","001","","26","3.170","26.9","19.2","30.8","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"599
Wildlife Research Capstone","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"635
Forest Stand Dynamics","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","15","3.033","20.0","13.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","35","3.414","34.3","22.9","34.3","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.964","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicm-Forestry&Wl Ecol Tchg","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","21","4.000","95.2",".",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"879
Advanced Landscape Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"961","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Seminar","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 24 of 413"
