"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","159","3.107","25.8","11.9","44.0","6.9","6.3","3.8","1.3",".",".",".",".",".",".",".",".","."
"","300
002","190","3.168","27.4","16.8","34.2","9.5","10.5","1.1","0.5",".",".",".",".",".",".",".",".","."
"","300
010","141","2.993","28.4","9.9","34.8","7.1","12.1","2.8","4.3",".","0.7",".",".",".",".",".",".","."
"","300
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","491","3.098","27.1","13.2","37.7","7.9","9.6","2.4","1.8",".","0.2",".",".",".",".",".",".","."
"","305
001","49","3.102","20.4","6.1","57.1","6.1","10.2",".",".",".",".",".",".",".",".",".",".","."
"","305
002","27","3.148","18.5","11.1","59.3","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","76","3.118","19.7","7.9","57.9","5.3","9.2",".",".",".",".",".",".",".",".",".",".","."
"","365
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","10","3.700","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","58","3.875","79.3","12.1","6.9",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
159","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
217","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","9","3.778","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"The Management of Teams","401
001","35","3.429","14.3","60.0","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org Effectvnss","420
001","12","3.375","50.0","25.0","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","32","3.844","71.9","25.0","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","23","3.413","30.4","39.1","13.0","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","17","3.594","23.5","64.7","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","40","3.487","27.5","50.0","10.0","10.0",".",".",".","2.5",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","20","3.778","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Seminar: Organizational Issues","470
001","30","3.117","36.7","3.3","36.7","6.7","13.3",".","3.3",".",".",".",".",".",".",".",".","."
"Intellectual Property Rights","540
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","24","3.771","62.5","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","26","3.520","30.8","38.5","26.9",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Negotiations","628
001","35","3.757","57.1","37.1","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001","56","3.938","89.3","8.9","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","60","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
030","64","3.898","87.5","7.8","3.1",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","Course Total","180","3.931","89.4","8.3","1.7",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt-Life & Engr Sci","715
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","17","3.813","64.7","23.5","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","723
001","25","3.640","44.0","40.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
030","59","3.780","67.8","25.4","3.4","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","84","3.738","60.7","29.8","7.1","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurl Growth Strategy","001
727","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
