"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"","775
003","3","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","775
004","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Externship","Course Total","30","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".",".",".",".","."
"SURG SCI
938","Dept. Total","1140","3.557","37.6","9.8","11.7","1.5","1.6","0.1","",".","37.5","",".",".",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Senior","","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","2","3.700","50.0","50.0",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 1","","34","4.000","29.4",".",".",".",".",".","",".","70.6","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","156","3.716","57.1","21.8","20.5","0.6",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 3","","577","3.342","27.0","12.7","17.0","2.6","3.1","0.2","",".","36.9","",".",".",".","",".","0.5",".",".","."
"Prof Yr 4","","370","3.943","46.5","1.1","0.8","0.3",".",".","",".","51.4","",".",".",".","",".",".",".",".","."
"Professionals","","1137","3.556","37.6","9.8","11.7","1.5","1.6","0.1","",".","37.6","",".",".",".","",".","0.3",".",".","."
"","Dept. Total","1140","3.557","37.6","9.8","11.7","1.5","1.6","0.1","",".","37.5","",".",".",".","",".","0.3",".",".","."
