"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","32","3.226","40.6","25.0","9.4","6.3","9.4",".","6.3","3.1",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204
001","52","3.683","69.2","21.2","5.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chekhov in Translation","220
001","22","3.595","50.0","31.8","9.1",".",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222
001","44","3.368","27.3","22.7","25.0","9.1","2.3",".",".","9.1",".",".",".",".","2.3","2.3",".","."
"Soviet Life&Cult (1917 on)","234
001","27","3.579","59.3","11.1","25.9",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"Lit:Image-Indiv Ital Renais","256
001","29","3.534","41.4","31.0","24.1",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","23","3.409","13.0","60.9","13.0","8.7",".",".",".",".",".",".",".",".",".","4.3",".","."
"Survey-Japanese Lit in Tran","264
001","16","3.281","18.8","43.8","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","274
001","31","3.258","16.1","45.2","22.6","6.5","9.7",".",".",".",".",".",".",".",".",".",".","."
"","274
002","64","3.430","31.3","42.2","17.2","6.3","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","Course Total","95","3.384","26.3","43.2","18.9","6.3","4.2",".","1.1",".",".",".",".",".",".",".",".","."
"","275
001","138","3.059","2.9","34.1","38.4","19.6","2.9","0.7",".","0.7",".",".",".",".","0.7",".",".","."
"","275
002","94","3.174","13.8","43.6","24.5","7.4","5.3",".","3.2",".",".",".",".",".","1.1",".",".","1.1"
"In Transl:Hans C. Andersen","Course Total","232","3.113","7.3","37.9","32.8","14.7","3.9","0.4","1.3","0.4",".",".",".",".","0.9",".",".","0.4"
"German Classics-Translation","276
001","20","3.675","60.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324
001","37","3.849","70.3","29.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Scand Decadence-European Cntxt","350
001","7","3.825","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Fr&Ital Renaissance Lit Online","360
001","63","3.332","34.9","22.2","17.5","4.8","6.3","4.8",".","7.9",".",".",".",".",".",".","1.6","."
"Class Japanese Prose-Transl","372
001","13","3.050","15.4","61.5",".","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"Topics in Korean Literature","374
001","25","3.440","40.0","24.0","28.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410
001","18","3.809","55.6","38.9",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Mod Serb&Croat Lit in Trans","455
001","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Modern Indian Theatre","549
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","794","3.392","32.4","32.7","20.0","6.9","3.1","0.9","1.1","1.6",".",".",".",".","0.6","0.3","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","55","3.324","20.0","45.5","20.0","5.5","7.3",".",".",".",".",".",".",".",".","1.8",".","."
"Sophomore","","162","3.345","29.6","37.0","21.6","6.2","3.1",".","2.5",".",".",".",".",".",".",".",".","."
"Junior","","219","3.392","33.8","31.5","20.5","7.3","3.2","1.8","0.9",".",".",".",".",".",".","0.5",".","0.5"
"Senior","","348","3.426","35.1","30.2","19.3","7.2","2.6","0.9","0.9","2.9",".",".",".",".","1.1",".",".","."
"Undergraduates","","784","3.391","32.5","33.0","20.2","6.9","3.2","0.9","1.1","1.3",".",".",".",".","0.5","0.3",".","0.1"
"Special","","8","3.250","12.5","12.5","12.5","12.5",".",".",".","37.5",".",".",".",".",".",".","12.5","."
"Graduate","","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","Dept. Total","794","3.392","32.4","32.7","20.0","6.9","3.1","0.9","1.1","1.6",".",".",".",".","0.6","0.3","0.1","0.1"
