"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Criminology","441","001","101","3.733","66.3","22.8","4.0","5.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","475","001","30","2.638","16.7","16.7","6.7","26.7","16.7","10.0","3.3",".","3.3",".",".",".",".",".",".","."
"","475","002","38","2.964","26.3","28.9","7.9","10.5","13.2","5.3","5.3",".",".",".",".",".",".","2.6",".","."
"","475","003","44","3.085","31.8","15.9","15.9","9.1","13.6","6.8",".",".",".",".",".",".",".","6.8",".","."
"","475","004","31","2.937","12.9","25.8","22.6","19.4","16.1","3.2",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","143","2.926","23.1","21.7","13.3","15.4","14.7","6.3","2.1",".","0.7",".",".",".",".","2.8",".","."
"","496","001","24","3.486","41.7","37.5","16.7",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","496","002","17","3.647","58.8","11.8","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","003","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","005","19","2.816","26.3","26.3","10.5","10.5","10.5","5.3","10.5",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","75","3.423","49.3","22.7","17.3","2.7","2.7","1.3","4.0",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","530","001","37","2.770","16.2","10.8","27.0","13.5","29.7",".","2.7",".",".",".",".",".",".",".",".","."
"Sociology of Medicine","531","001","24","3.659","45.8","33.3","8.3","4.2",".",".",".",".",".",".",".",".","8.3",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","002","28","3.571","46.4","42.9","7.1",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535","001","25","2.987","20.0","20.0","24.0","12.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"Soc Bhv & Natural Resources","541","001","11","3.182","18.2","27.3","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Collective Behavior","543","001","43","3.073","23.3","23.3","23.3","14.0","14.0",".","2.3",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575","001","27","3.667","51.9","33.3","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Knowledge and Society","610","001","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Soc Structrs-Muslim Society","614","001","40","3.559","32.5","40.0","5.0","5.0","2.5",".",".","2.5",".",".",".",".","10.0","2.5",".","."
"Social Stratification","633","001","20","3.842","80.0",".","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Sociology of the Family","640","001","31","3.362","35.5","22.6","29.0","3.2","9.7",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","52","3.357","32.7","23.1","26.9","7.7","5.8",".",".","1.9",".",".",".",".","1.9",".",".","."
"Sociology of Education","648","001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652","001","21","3.000","42.9","9.5","9.5","19.0","9.5",".","9.5",".",".",".",".",".",".",".",".","."
"Microfoundations-Economic Soc","655","001","10","3.500","20.0","50.0",".","10.0",".",".",".",".",".",".",".",".","10.0","10.0",".","."
"Population and Society","663","001","16","3.438","18.8","50.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Analysis & Research","693","001","14","3.860","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","149","4.000","98.0",".",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","699","026","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","699","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","12","3.775","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 305 of 413",""
