"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"702
18th Century Russian Lit","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"705
Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Russian Poetry 1837-1890","001","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"820
College Teaching of Russian","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smr-Pre-Soviet 20C Lit","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
