"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","119","3.145","24.4","21.0","29.4","14.3","5.9","2.5","0.8","0.8",".",".",".",".",".","0.8",".","."
"","300
002","124","3.221","25.0","25.0","27.4","13.7","5.6","1.6",".",".","0.8",".",".",".",".","0.8",".","."
"","300
003","83","3.199","20.5","32.5","22.9","14.5","9.6",".",".",".",".",".",".",".",".",".",".","."
"","300
004","43","3.465","44.2","18.6","27.9","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"","300
005","34","3.235","17.6","38.2","26.5","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","403","3.222","25.3","25.8","27.0","12.7","6.7","1.2","0.2","0.2","0.2",".",".",".",".","0.5",".","."
"","365
001","15","3.300","26.7","46.7","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","365
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","16","3.344","31.3","43.8","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research II","411
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Location Models","578
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","60","3.483","25.0","46.7","28.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","56","3.554","41.1","28.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","59","3.542","33.9","42.4","22.0","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","175","3.526","33.1","39.4","26.9","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","711
001","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","87","3.523","33.3","37.9","28.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
030","64","3.523","37.5","29.7","32.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","151","3.523","35.1","34.4","30.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","5","***","","","","","","","","","","","","","","","",""
"Qual & Productivity Improvemnt","770
001","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","3","***","","","","","","","","","","","","","","","",""
"Strategc Managemt&Qual Plan","861
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Operations & Tech Mgmt","875
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","3","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Oper&Info Mgt PhD","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
