"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","14","3.000","7.1","21.4","42.9","7.1",".","7.1",".","7.1",".",".",".",".","7.1",".",".","."
"Black Music&Am Cultrl Hist","156","001","192","3.640","39.1","39.6","11.5","1.0",".",".",".","8.3",".",".",".",".","0.5",".",".","."
"Directed Study","199","007","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","37","3.157","24.3","27.0","18.9","8.1","13.5","2.7",".","5.4",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","91","3.256","15.4","40.7","24.2","9.9","3.3",".","1.1","3.3",".",".",".",".","1.1",".",".","1.1"
"Intro to Afro-Am History","231","001","88","3.285","33.0","27.3","18.2","10.2","4.5","4.5",".","1.1",".",".",".",".",".",".","1.1","."
"Intro to Afro-American Art","242","001","80","3.250","36.3","12.5","25.0","6.3","8.8","3.8",".","7.5",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","18","2.875",".","11.1","55.6","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"Black Women in America","324","001","29","3.207","27.6","6.9","44.8","20.7",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of African-Amer Educ","567","001","17","3.353","47.1","17.6","11.8","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","603","001","22","3.477","45.5","27.3","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","7","3.833","71.4",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Afr Am Women's Activism 19-20C","624","001","12","3.318","25.0","25.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","8.3"
"Selected Topics:Afro-Am Lit","672","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674","001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675","002","9","3.563","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Senior Thesis","691","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","6","3.964","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
