"","990
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
026","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","26","",".",".",".",".",".",".",".","80.8","3.8",".",".","15.4",".",".",".","."
"THEATRE
942","Dept. Total","1063","3.683","64.4","17.4","8.2","2.4","1.9","0.8","0.6","3.2","0.2",".",".","0.4","0.3",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","137","3.543","56.9","17.5","12.4","7.3","4.4","1.5",".",".",".",".",".",".",".",".",".","."
"Sophomore","","230","3.708","62.2","23.0","7.8","2.2","2.6","0.4",".","0.4",".",".",".",".","0.4",".",".","0.9"
"Junior","","222","3.652","64.4","18.9","9.5","2.3","3.2","0.5","0.9","0.5",".",".",".",".",".",".",".","."
"Senior","","314","3.706","70.7","16.2","6.7","1.6",".","1.3","1.3","1.6","0.3",".",".",".","0.3",".",".","."
"Undergraduates","","903","3.668","64.9","18.8","8.5","2.8","2.1","0.9","0.7","0.8","0.1",".",".",".","0.2",".",".","0.2"
"Special","","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"Graduate","","153","3.803","63.4","9.8","6.5","0.7","0.7","0.7",".","14.4","0.7",".",".","2.6","0.7",".",".","."
"","Dept. Total","1063","3.683","64.4","17.4","8.2","2.4","1.9","0.8","0.6","3.2","0.2",".",".","0.4","0.3",".",".","0.2"
