"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","","35","3.414","22.9","62.9","5.7","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","","174","2.910","17.2","17.2","27.6","16.7","15.5","2.9","1.7","1.1",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270
001","","20","3.325","40.0","25.0","20.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","55","3.091","14.5","32.7","32.7","10.9","3.6","3.6","1.8",".",".",".",".",".",".",".",".","."
"","322
001","","16","3.808","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
322","","19","3.301","42.1","36.8","5.3","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","322
003","","21","3.255","52.4","14.3","9.5","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","322
004","","20","3.369","55.0","5.0","20.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","322
005","","16","3.335","50.0","18.8","6.3","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","","92","3.398","54.3","17.4","10.9","7.6","3.3","4.3","2.2",".",".",".",".",".",".",".",".","."
"","324
001","","16","3.469","50.0","18.8","18.8",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","20","3.525","45.0","25.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","14","3.429","35.7","21.4","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","Course Total","","50","3.480","44.0","22.0","26.0","2.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","325
001","","18","3.778","72.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
325","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","Course Total","","34","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","12","3.375","41.7","25.0","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
332","","21","2.839","9.5","19.0","28.6","19.0","14.3","4.8",".","4.8",".",".",".",".",".",".",".","."
"Second Semester Swahili","Course Total","","33","3.045","21.2","21.2","21.2","18.2","12.1","3.0",".","3.0",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334
001","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem-Lang-South Africa","336
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang-S Africa: Zulu","338
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","","27","3.635","29.6","63.0","3.7",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Second Semester Yoruba","372
002","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Yoruba","374
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang of West Africa","392
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang of West Africa","394
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-African Literature","402
001","","17","3.820","76.5","5.9","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Contemp African Fiction","412
001","","11","3.829","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"African/Francophone Film","440
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
001","","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
002","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Readings-Adv Arabic Texts","Course Total","","19","3.647","52.6","10.5","26.3",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Mod African Lit in English","453
001","","28","3.424","50.0","28.6","10.7","3.6",".",".","7.1",".",".",".",".",".",".",".",".","."
"Sixth Semester Yoruba","476
001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Struct&Analysis-Afric Langs","501
001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Africn Lang:Thry&Prac","575
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
