"BUS","","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","2063","3.198","31.4","21.8","23.5","7.7","9.6","4.3","1.1","0.5","0.0",".","",".","",".","0.1",".","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","2.875","25.0","25.0","10.0","20.0","5.0","10.0","5.0",".",".",".","",".","",".",".",".",".","."
"Sophomore","","283","2.890","18.4","18.4","29.0","7.8","19.1","6.7","0.7",".",".",".","",".","",".",".",".",".","."
"Junior","","708","3.004","24.6","18.4","28.0","10.2","11.0","6.5","1.4",".",".",".","",".","",".",".",".",".","."
"Senior","","709","3.315","34.1","23.4","22.7","6.9","7.5","3.1","1.3","0.4","0.1",".","",".","",".","0.1",".","0.1","0.1"
"Undergraduates","","1720","3.120","27.5","20.5","25.8","8.5","10.8","5.2","1.3","0.2","0.1",".","",".","",".","0.1",".","0.1","0.1"
"Special","","20","3.105","30.0","15.0","20.0","5.0","25.0",".",".","5.0",".",".","",".","",".",".",".",".","."
"Graduate","","320","3.644","52.2","29.1","11.6","3.1","2.2",".",".","1.6",".",".","",".","",".","0.3",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","2.500",".",".",".","100.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".","",".","",".",".",".",".","."
"Professionals","","3","3.250","33.3",".",".","33.3",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"","Dept. Total","2063","3.198","31.4","21.8","23.5","7.7","9.6","4.3","1.1","0.5","0.0",".","",".","",".","0.1",".","0.0","0.0"
