"","990
085","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
086","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
087","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","37","",".",".",".",".",".",".",".","94.6","",".",".",".","5.4","",".",".",".","."
"PATH
704","Dept. Total","512","3.420","34.4","24.6","17.0","7.2","2.5","0.8","0.2","6.8","",".","5.7",".","0.4","",".",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","11","3.250","36.4","27.3","9.1","9.1","18.2",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","88","3.405","30.7","39.8","18.2","5.7","2.3","2.3",".",".","",".",".",".",".","",".",".",".","1.1"
"Senior","","128","3.330","39.8","19.5","19.5","15.6","3.1","1.6","0.8",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","227","3.355","36.1","27.8","18.5","11.5","3.5","1.8","0.4",".","",".",".",".",".","",".",".",".","0.4"
"Special","","13","3.907","84.6","7.7","7.7",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","146","3.528","37.0","6.2","10.3","0.7","1.4",".",".","23.3","",".","19.9",".","1.4","",".",".",".","."
"Prof Yr 1","","128","3.410","26.6","41.4","21.9","7.8","2.3",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","7","3.786","71.4",".","14.3",".",".",".",".",".","",".",".",".",".","",".",".","14.3","."
"Prof Yr 4","","12","4.000","91.7",".",".",".",".",".",".","8.3","",".",".",".",".","",".",".",".","."
"Professionals","","147","3.452","34.0","36.1","19.7","6.8","2.0",".",".","0.7","",".",".",".",".","",".",".","0.7","."
"","Dept. Total","533","3.420","37.0","23.6","16.3","6.9","2.4","0.8","0.2","6.6","",".","5.4",".","0.4","",".",".","0.2","0.2"
