"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"The Microbial World","100
001","59","3.542","54.2","28.8","5.1","1.7","8.5",".","1.7",".",".",".",".",".",".",".",".","."
"General Microbiology","101
001","284","2.995","19.7","23.6","27.1","12.0","11.6","2.5","3.2",".",".",".",".",".","0.4",".",".","."
"","102
001","38","3.724","55.3","34.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","39","3.782","64.1","33.3",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","102
003","39","3.692","51.3","38.5","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","116","3.733","56.9","35.3","6.0","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Honors Independent Study","289
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
095","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","24","3.950","91.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","286","2.837","17.5","5.6","33.9","19.9","20.3","1.0","1.4",".",".",".",".",".","0.3",".",".","."
"","304
001","38","3.026","26.3","10.5","28.9","15.8","15.8","2.6",".",".",".",".",".",".",".",".",".","."
"","304
002","33","3.364","36.4","21.2","27.3","9.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"","304
003","34","3.162","26.5","11.8","41.2","8.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","304
004","40","2.938","17.5","12.5","37.5","15.0","12.5","5.0",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","145","3.110","26.2","13.8","33.8","12.4","11.7","2.1",".",".",".",".",".",".",".",".",".","."
"Host-Parasite Interactions","330
001","33","3.258","36.4","15.2","24.2","12.1","12.1",".",".",".",".",".",".",".",".",".",".","."
"","375
002","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
006","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","375
009","44","3.864","93.2",".","4.5",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","113","3.902","92.0","1.8","3.5","0.9",".",".","0.9",".",".",".",".",".",".",".","0.9","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","59","3.008","18.6","15.3","42.4","6.8","13.6","1.7","1.7",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","52","3.039","36.5","9.6","17.3","9.6","19.2","3.8","1.9",".",".",".",".",".",".","1.9",".","."
"Topics in Biotechnology","545
001","38","3.806","71.1","15.8","2.6","5.3",".",".",".",".",".",".",".",".",".","5.3",".","."
"","551
001","10","3.500","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","551
002","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","44","3.581","40.9","31.8","25.0",".",".",".",".",".",".",".",".",".","2.3",".",".","."
